x,y
355.2,419.2
349.1,425.7
356.2,418.7
360.7,413.5
359.2,416.8
357.6,416.6
353.1,427.9
358.3,418.2
356.4,412.9
354.5,425.6
353.3,427.1
353.5,422.4
356.3,414.2
353.2,422.2
351.4,428.3
359.2,426.8
353.4,422.1
351.7,428.3
352.9,427.3
351.5,427.5
358.5,418.1
356.5,414.3
351.3,418.8
351.4,420.9
351.5,427.5
356.5,425.5
355.1,421.8
353,415.8
359.2,417.6
354.1,426.1
350.8,425.7
353.5,422.6
358.5,418.3
358.3,418.4
347.7,425.7
359.1,418.4
354.1,422
359.3,416.9
356.8,426.5
355.8,427.4
359.4,418.4
351.7,427.7
356.5,426
358.1,416.7
350.9,427.8
358.7,416.9
354.4,425.9
355,422.2
359.4,419.6
353,426.9
349,426.5
355.5,425.9
353.6,421.7
354.5,422.5
355.9,423.4
352.5,416.5
360.1,412.7
356.6,426.4
359.1,418.7
360.1,413.2
359.6,426.1
353,422.4
355.1,423.7
355,421.8
358.7,416.2
353,421.6
351.8,416.7
358.5,418.7
351.9,428
355.6,419.3
358.1,417
356.7,418.2
353.6,421.5
357.8,416.2
356.5,414
356.2,428
349.4,425.7
356.9,427
352.8,422
354.7,425.7
356.1,426
351.4,417.5
354.8,422.9
356.8,415.4
358.1,416.7
353.3,422.5
351.2,427.8
353.6,421.7
352.9,422.2
348.4,426.3
353.3,427.5
357.6,427.7
355.7,422.4
354.7,421.9
355,422.9
357,426.5
355.8,427.4
359.3,424.6
358,416.9
355.1,422.9
355.2,419.4
355.6,428.4
359.2,417.6
351.4,428.6
358.4,417.4
358.2,417.4
346.6,422.7
355.2,422
359.2,417.7
359.1,418.5
351.5,428.4
353.9,426.1
356.8,427.8
353.3,422.5
351.6,421.9
351.9,427.9
354.7,421.9
355.2,421.6
347.9,425.1
358,417.5
358.3,417.1
347.8,423.9
356.5,426
352.8,421.7
354.1,420
355.6,427.3
355.6,418.3
362,430
347.3,425
358.3,419
359.1,417
355.7,427.4
359.3,417.4
358.2,416.8
355.6,427.7
358,417.3
357.7,417.2
356.4,426.3
352.3,421.8
355.1,426.3
356.4,414
353.2,427.9
348.1,426.3
359.4,427.4
356.4,426.1
359.2,417.7
352.3,426.6
353.1,421.6
353.6,422
357.5,423.4
358,421.3
356.3,426.7
348.9,418.6
358.1,416.7
353.9,426.1
355.6,418.7
356.5,413.8
348.5,418.6
354.7,425.9
347,425.8
355.9,427.2
352,422.2
350.9,425.2
353.4,426.8
357.6,416.3
361.1,413.3
358.6,428.4
356,415.3
352.2,428.9
359.2,417.6
350.7,427.4
359.6,421.2
360.1,413.4
355,422.5
359.1,417.1
351.5,428.6
353,421.7
356.3,414.2
354.2,421.7
350.8,427.7
355.8,422.4
348.7,426.1
353.6,422.7
354.5,422.3
353.3,427.5
350.9,425.1
355.1,421.9
360.6,413.5
356.3,426.9
356.4,426.3
352.1,421.8
357.9,423.7
357.9,416.9
353.8,426.5
354.5,421.9
357.6,427.5
356.2,425.9
358.4,417.4
353,426.9
352.7,426.7
354.2,421.4
360.3,413.8
352.7,426.6
354.6,425.1
355.3,426.2
359.3,418.2
354.5,422.7
356.1,414.3
358.8,418.5
359,417
358.6,426.8
354.8,422.8
358.9,418.2
352.4,421.9
360.3,413.8
359.1,418.5
351.8,421.7
348.2,420.5
354.5,426.2
358.7,416.9
353.4,422.3
357.9,416.7
355.1,422.2
352.9,426.9
353.5,427.2
358.1,422.2
352.3,421.6
358.2,421.3
358,422
358.5,419.2
352.2,427.4
353.5,427.3
352.8,422
358.7,416.7
354.9,422.7
359.3,424.6
358.7,416.9
354.4,426.3
352.1,417
353.5,427.3
354.8,425.8
357.4,416.2
352.7,422
359.3,417.9
355.6,418.3
358.3,418.2
352.1,417
353.7,422.4
357.8,424.4
359,417
356.2,414.1
356.6,415.7
361,414
357.9,417.1
356.2,425.9
358.2,427.1
352.8,426.9
361.8,421.8
352.8,426.9
351.6,428.3
361,414
352.4,426.8
354.7,425.7
360.9,413.7
349,426.9
351.7,428.3
357.6,418.8
358.8,417.9
355.6,428.4
358.7,416.1
358.1,416.8
358.8,417.3
355.3,422.8
358.6,423.3
354.7,421.9
359.5,418.9
358.3,417.4
353.3,427.5
357.9,421.1
349,426.5
358.9,418.2
357.6,416.2
361.4,427.4
357.7,417.6
351.2,425
352.2,416.9
357.6,416.5
354.6,422
357.5,416.4
357.7,424.3
353.9,421.8
359,418.1
354.2,421.7
356.8,426
352.8,427.2
359.5,426.7
355.1,422.2
356.6,428.2
358.3,417.9
353.3,427.5
359.7,413
351.9,427.6
357.8,416.1
352.2,417
357.8,416.1
358.2,421.3
349.7,426.5
354.4,426
356,415.4
358.9,426.5
355.8,427.4
347.1,422.8
359.4,427.4
358.3,418.4
355.2,421.7
358,417.5
353.6,427.8
354.6,421.8
356.7,426
359.2,418.2
356.7,427
351.7,428.5
359,417.5
356.1,426.6
359.5,417
358.2,416.6
352.2,423.3
353.1,422.3
350.9,427.6
351.8,428
356.7,418.1
353.3,427.7
359.4,427.4
357.7,416.3
358.6,416.6
359.4,414.1
359.1,418.3
347.9,425.9
360.3,420.3
353.2,427.9
353,421.3
360.3,420.3
351.9,427.4
352.7,422.1
354.1,420
358.2,416.1
351.9,421.6
360.2,413.7
356.7,414.4
358.1,416.7
359,417.5
359.3,420.5
356,415.2
361.4,423.2
359.4,417.5
355.2,421.7
357.9,425.8
358.7,416.7
357.9,416.9
355.4,412.7
356.9,425.7
356.7,425.7
354.1,426.1
352.5,426.7
361,414
347.1,422.9
358.3,416.4
358.2,421.9
354.7,425.9
349.4,427.2
358.5,416.9
352.5,416.5
351.6,428.2
351.8,428.1
