day,site,new_customer,platform,visits,distinct_sessions,orders,gross_sales,bounces,add_to_cart,product_page_views,search_page_views
1/2/13 0:00,Pinnacle,,,2,2,0,,2,0,1,1
1/2/13 0:00,Acme,0,BlackBerry,12,10,0,11,3,1,6,14
1/2/13 0:00,Pinnacle,0,Android,2,1,0,16,1,0,2,4
1/2/13 0:00,Pinnacle,0,Windows,76,60,8,2466,18,19,149,291
1/2/13 0:00,Sortly,1,Other,1,0,0,,0,0,0,0
1/2/13 0:00,Acme,1,Windows,1114,627,626,72943,170,728,4023,7350
1/2/13 0:00,Acme,1,Other,7,4,3,334,1,4,25,42
1/2/13 0:00,Sortly,0,Linux,1,0,0,11,0,0,1,1
1/2/13 0:00,Acme,0,iPhone,479,392,40,5058,83,88,627,973
1/2/13 0:00,Acme,,Linux,998,919,0,,781,11,2074,1771
1/2/13 0:00,Acme,1,Android,24,15,13,1294,3,16,104,176
1/2/13 0:00,Acme,,SymbianOS,4,3,0,,2,0,2,4
1/2/13 0:00,Acme,1,BlackBerry,1,0,0,,0,0,0,0
1/2/13 0:00,Pinnacle,0,Other,0,0,0,,0,0,1,0
1/2/13 0:00,Acme,1,Linux,5,3,3,379,1,3,14,24
1/2/13 0:00,Pinnacle,1,iPhone,1,0,1,206,0,1,1,4
1/2/13 0:00,Botly,,Android,1079,869,0,,481,92,582,1697
1/2/13 0:00,Pinnacle,,iPad,336,273,0,,154,8,413,599
1/2/13 0:00,Acme,,Android,4684,4104,0,,1668,101,4998,12199
1/2/13 0:00,Sortly,,Macintosh,23,20,0,,15,1,28,35
1/2/13 0:00,Acme,0,Other,58,41,9,1101,10,17,187,385
1/2/13 0:00,Pinnacle,0,BlackBerry,0,0,0,,0,0,0,0
1/2/13 0:00,Acme,0,Linux,64,39,8,1137,11,15,194,355
1/2/13 0:00,Sortly,0,iPhone,495,385,55,7294,99,122,670,866
1/2/13 0:00,Acme,0,SymbianOS,0,0,0,,0,0,0,1
1/2/13 0:00,Pinnacle,1,Macintosh,4,3,2,490,1,3,13,18
1/2/13 0:00,Acme,,,74,73,0,,74,0,22,21
1/2/13 0:00,Pinnacle,0,Linux,0,0,0,,0,0,0,0
1/2/13 0:00,Pinnacle,0,iPhone,10,8,1,242,3,3,11,16
1/2/13 0:00,Acme,1,iPhone,25,21,15,1584,2,17,73,82
1/2/13 0:00,Acme,,Windows,68235,54900,0,,27925,2598,117761,288942
1/2/13 0:00,Pinnacle,,Macintosh,561,441,0,,269,17,706,1180
1/2/13 0:00,Sortly,,iPad,17,15,0,,10,1,32,31
1/2/13 0:00,Pinnacle,,Android,79,64,0,,42,1,86,156
1/2/13 0:00,Pinnacle,,Windows,970,795,0,,427,23,1189,1994
1/2/13 0:00,Pinnacle,,BlackBerry,3,2,0,,2,0,3,1
1/2/13 0:00,Sortly,0,Android,118,84,8,1055,29,26,182,291
1/2/13 0:00,Sortly,0,Windows,4,3,1,152,0,2,9,16
1/2/13 0:00,Pinnacle,,Other,91,56,0,,73,0,16,157
1/2/13 0:00,Acme,,iPhone,6006,5700,0,,2263,130,4988,8594
1/2/13 0:00,Pinnacle,0,Macintosh,61,50,7,2224,19,14,132,229
1/2/13 0:00,Tabular,0,iPad,127,122,127,21773,0,127,0,0
1/3/13 0:00,Pinnacle,1,Linux,0,0,0,7,0,0,1,1
1/3/13 0:00,Pinnacle,0,Android,5,4,0,,2,0,5,23
1/3/13 0:00,Sortly,,SymbianOS,0,0,0,,0,0,0,0
1/3/13 0:00,Pinnacle,,iPhone,390,315,0,,189,9,372,700
1/3/13 0:00,Acme,0,iPhone,564,448,47,6437,99,106,782,1271
1/3/13 0:00,Acme,1,Linux,5,2,3,341,1,3,17,24
1/3/13 0:00,Pinnacle,0,Other,0,0,0,,0,0,0,0
1/3/13 0:00,Sortly,,Android,1301,961,0,,773,43,1757,3157
1/3/13 0:00,Acme,1,Macintosh,423,228,225,27455,74,266,1655,2951
1/3/13 0:00,Botly,,Android,1268,1039,0,,552,114,685,2017
1/3/13 0:00,Sortly,1,Windows,1,0,0,22,0,0,1,0
1/3/13 0:00,Acme,1,BlackBerry,1,0,0,6,0,0,1,1
1/3/13 0:00,Acme,0,Android,285,210,23,2624,51,62,710,1462
1/3/13 0:00,Sortly,1,Android,23,13,6,645,5,12,50,74
1/3/13 0:00,Pinnacle,0,Windows,153,125,13,4616,30,29,356,1065
1/3/13 0:00,Pinnacle,1,iPhone,1,0,0,73,0,0,1,0
1/3/13 0:00,Pinnacle,0,BlackBerry,0,0,0,180,0,0,0,0
1/3/13 0:00,Sortly,,Macintosh,18,16,0,,12,1,25,30
1/3/13 0:00,Acme,0,Windows,13318,9104,2031,289637,1973,3601,42023,86214
1/3/13 0:00,Widgetry,1,iPhone,17,16,17,1903,0,17,157,158
1/3/13 0:00,Pinnacle,,iPad,417,332,0,,164,15,581,1147
1/3/13 0:00,Pinnacle,1,Macintosh,6,3,2,428,1,3,14,24
1/3/13 0:00,Pinnacle,0,Linux,0,0,0,,0,0,1,2
1/3/13 0:00,Tabular,1,iPad,15,14,15,1978,0,15,0,0
1/3/13 0:00,Pinnacle,,Windows,1233,1004,0,,497,39,1770,3936
1/3/13 0:00,Sortly,1,iPhone,71,41,24,2733,15,33,101,102
1/3/13 0:00,Acme,,Linux,1046,965,0,,826,11,1207,1883
1/3/13 0:00,Sortly,0,Android,109,79,9,1281,29,27,200,289
1/3/13 0:00,Acme,,SymbianOS,4,4,0,,3,0,2,6
1/3/13 0:00,Pinnacle,,Android,112,85,0,,57,3,117,286
1/3/13 0:00,Sortly,0,iPad,1,0,0,6,0,0,0,1
1/3/13 0:00,Pinnacle,,BlackBerry,7,5,0,,4,0,6,12
1/3/13 0:00,Sortly,,BlackBerry,1,0,0,,1,0,1,1
1/3/13 0:00,Acme,0,Macintosh,8138,5190,1073,176170,2389,1822,23871,46303
1/3/13 0:00,Acme,,BlackBerry,121,106,0,,63,2,107,174
1/3/13 0:00,Sortly,0,Windows,3,2,1,89,0,1,6,7
1/3/13 0:00,Sortly,1,Other,1,0,0,,0,0,0,0
1/3/13 0:00,Pinnacle,,Other,104,58,0,,81,0,15,174
1/3/13 0:00,Acme,,iPhone,6336,5987,0,,2478,140,4997,8653
1/3/13 0:00,Sortly,0,Linux,0,0,0,,0,0,0,0
1/3/13 0:00,Pinnacle,,SymbianOS,0,0,0,,0,0,0,0
1/3/13 0:00,Tabular,0,iPad,134,128,134,22187,0,134,0,0
1/3/13 0:00,Sortly,1,Macintosh,1,0,0,37,0,0,1,3
1/3/13 0:00,Acme,0,Other,52,36,6,789,9,14,199,359
1/3/13 0:00,Pinnacle,0,Macintosh,119,96,12,3775,25,24,300,827
1/3/13 0:00,Acme,,Other,3507,2750,0,,2767,18,2731,6123
1/3/13 0:00,Pinnacle,1,Windows,10,6,4,1116,3,5,24,40
1/3/13 0:00,Pinnacle,1,Android,0,0,0,,0,0,0,0
1/3/13 0:00,Acme,,,76,76,0,,76,0,29,17
1/3/13 0:00,Sortly,,Windows,24,22,0,,14,2,41,21
1/3/13 0:00,Pinnacle,0,iPad,45,37,4,1214,11,8,107,241
1/3/13 0:00,Sortly,,Other,360,360,0,,351,0,11,47
1/3/13 0:00,Pinnacle,1,iPad,2,1,1,120,1,1,5,3
1/3/13 0:00,Acme,,Macintosh,27324,19740,0,,13028,1185,47132,107120
1/3/13 0:00,Pinnacle,,Linux,9,7,0,,7,0,5,12
1/3/13 0:00,Widgetry,,iPhone,4067,3142,0,,54,359,23963,36438
1/3/13 0:00,Widgetry,0,iPhone,129,124,129,18002,0,129,1743,1446
1/3/13 0:00,Pinnacle,1,Other,0,0,0,,0,0,0,0
1/3/13 0:00,Sortly,,Linux,5,4,0,,4,0,6,2
1/3/13 0:00,Sortly,,iPhone,5037,4156,0,,2338,224,7219,10565
1/3/13 0:00,Sortly,0,iPhone,501,384,60,8024,107,139,702,855
1/3/13 0:00,Acme,1,iPhone,26,19,13,1362,3,16,56,83
1/3/13 0:00,Sortly,0,Other,2,1,0,2,0,1,1,0
1/3/13 0:00,Acme,0,iPad,2415,1705,383,57890,427,717,8079,12927
1/3/13 0:00,Acme,1,Android,29,17,13,1322,4,16,95,156
1/3/13 0:00,Acme,0,Linux,62,39,8,1056,11,16,197,354
1/3/13 0:00,Acme,0,BlackBerry,13,10,1,69,3,2,11,17
1/3/13 0:00,Sortly,1,iPad,0,0,0,,0,0,0,0
1/3/13 0:00,Pinnacle,,,2,1,0,,2,0,0,0
1/3/13 0:00,Tabular,,iPad,2542,2108,0,,329,302,3,3
1/3/13 0:00,Acme,0,SymbianOS,0,0,0,,0,0,0,0
1/3/13 0:00,Pinnacle,,Macintosh,681,524,0,,292,28,920,2191
1/3/13 0:00,Botly,0,Android,24,23,24,3107,0,24,1,1
1/3/13 0:00,Acme,1,Windows,1194,656,659,74118,192,765,4293,7646
1/3/13 0:00,Acme,,iPad,15531,12315,0,,5415,694,26830,51451
1/3/13 0:00,Pinnacle,0,iPhone,31,26,1,586,10,4,36,75
1/3/13 0:00,Acme,1,iPad,205,112,106,13610,33,127,807,1060
1/3/13 0:00,Sortly,0,Macintosh,1,0,0,21,0,0,0,1
1/3/13 0:00,Acme,,Windows,69961,56305,0,,28888,2680,118476,293505
1/3/13 0:00,Acme,,Android,4879,4266,0,,1773,109,5122,12503
1/3/13 0:00,Botly,1,Android,12,11,12,925,0,12,0,0
1/3/13 0:00,Sortly,,iPad,16,14,0,,9,2,28,28
1/3/13 0:00,Acme,1,Other,8,5,4,356,1,5,16,41
1/4/13 0:00,Acme,1,Windows,1129,624,626,71265,184,730,4236,7760
1/4/13 0:00,Sortly,1,Android,19,13,4,338,7,8,25,34
1/4/13 0:00,Pinnacle,0,BlackBerry,0,0,0,25,0,0,1,0
1/4/13 0:00,Acme,0,BlackBerry,11,8,1,52,3,2,7,12
1/4/13 0:00,Sortly,1,Windows,1,0,0,21,0,0,1,0
1/4/13 0:00,Acme,1,Macintosh,385,210,206,27153,66,243,1623,2979
1/4/13 0:00,Acme,0,Windows,11654,7944,1799,257425,1752,3231,37853,75547
1/4/13 0:00,Sortly,0,iPad,1,1,0,51,0,1,5,4
1/4/13 0:00,Pinnacle,,iPad,336,273,0,,142,9,458,720
1/4/13 0:00,Sortly,1,Macintosh,0,0,0,16,0,0,5,3
1/4/13 0:00,Pinnacle,,Linux,7,7,0,,5,0,10,6
1/4/13 0:00,Widgetry,0,iPhone,107,103,107,14397,0,107,1233,1129
1/4/13 0:00,Acme,0,Android,259,190,25,3017,43,59,624,1334
1/4/13 0:00,Sortly,0,Linux,0,0,0,,0,0,0,0
1/4/13 0:00,Acme,0,iPhone,498,399,45,5767,91,99,669,913
1/4/13 0:00,Pinnacle,1,Windows,10,5,4,958,2,5,21,30
1/4/13 0:00,Acme,,SymbianOS,3,2,0,,2,0,1,3
1/4/13 0:00,Acme,1,Linux,7,3,3,253,1,3,30,60
1/4/13 0:00,Sortly,,BlackBerry,0,0,0,,0,0,4,5
1/4/13 0:00,Acme,1,iPhone,28,25,17,1854,2,19,58,64
1/4/13 0:00,Pinnacle,0,Other,0,0,0,9,0,0,1,3
1/4/13 0:00,Acme,0,Other,53,38,7,663,7,14,169,367
1/4/13 0:00,Sortly,,Windows,12,10,0,,7,1,27,6
1/4/13 0:00,Botly,1,Android,11,10,11,1034,0,11,1,1
1/4/13 0:00,Acme,,Macintosh,24683,17904,0,,11832,1089,43319,96810
1/4/13 0:00,Pinnacle,1,iPhone,1,0,0,44,0,1,2,4
1/4/13 0:00,Botly,,Android,1278,1041,0,,578,106,648,2051
1/4/13 0:00,Pinnacle,,iPhone,270,228,0,,150,4,266,288
1/4/13 0:00,Sortly,,Macintosh,6,5,0,,4,0,12,4
1/4/13 0:00,Acme,0,Linux,53,34,6,833,10,12,192,339
1/4/13 0:00,Acme,,Linux,993,914,0,,783,10,1037,1795
1/4/13 0:00,Acme,,Windows,64668,52053,0,,26790,2511,112363,273239
1/4/13 0:00,Sortly,,iPad,8,6,0,,5,0,18,21
1/4/13 0:00,Acme,0,iPad,2132,1498,340,54085,387,647,7206,11335
1/4/13 0:00,Acme,1,BlackBerry,0,0,0,5,0,0,0,0
1/4/13 0:00,Botly,0,Android,24,22,24,2570,0,24,3,3
1/4/13 0:00,Pinnacle,0,Linux,1,0,0,,0,1,1,1
1/4/13 0:00,Sortly,,iPhone,3717,3188,0,,1683,172,5050,7483
1/4/13 0:00,Sortly,0,Android,90,69,5,621,26,22,116,162
1/4/13 0:00,Pinnacle,,Windows,973,808,0,,425,27,1340,2114
1/4/13 0:00,Pinnacle,1,iPad,3,1,1,252,1,1,8,6
1/4/13 0:00,Pinnacle,,BlackBerry,5,3,0,,3,0,6,3
1/4/13 0:00,Pinnacle,0,Windows,74,62,7,2412,15,19,207,412
1/4/13 0:00,Tabular,,iPad,2365,1973,0,,296,287,1,2
1/4/13 0:00,Pinnacle,,Android,74,62,0,,38,2,81,151
1/4/13 0:00,Sortly,,Linux,2,1,0,,2,0,2,2
1/4/13 0:00,Acme,1,Android,29,20,16,1564,3,19,95,188
1/4/13 0:00,Acme,,,55,54,0,,54,0,24,13
1/4/13 0:00,Acme,,iPhone,6444,6088,0,,2487,138,5076,8775
1/4/13 0:00,Acme,,Android,4946,4335,0,,1814,108,5063,12571
1/4/13 0:00,Pinnacle,,Other,101,53,0,,76,0,17,179
1/4/13 0:00,Sortly,,Android,777,621,0,,431,28,1050,1913
1/4/13 0:00,Sortly,1,iPhone,53,36,17,1796,16,23,73,81
1/4/13 0:00,Pinnacle,0,iPhone,14,10,2,266,3,4,18,32
1/4/13 0:00,Tabular,1,iPad,14,13,14,1875,0,14,0,0
1/4/13 0:00,Acme,,Other,3173,2401,0,,2456,18,2048,5144
1/4/13 0:00,Pinnacle,1,Macintosh,5,3,2,471,1,3,15,19
1/4/13 0:00,Pinnacle,0,Macintosh,67,53,7,2430,17,15,162,326
1/4/13 0:00,Sortly,0,iPhone,430,337,44,5755,95,109,507,629
1/4/13 0:00,Pinnacle,,Macintosh,542,419,0,,261,16,659,1166
1/4/13 0:00,Pinnacle,0,iPad,21,17,2,611,5,5,50,82
1/4/13 0:00,Acme,1,iPad,194,104,100,12972,32,120,792,1052
1/4/13 0:00,Acme,,iPad,14795,11724,0,,5117,665,25952,49290
1/4/13 0:00,Acme,,BlackBerry,119,103,0,,62,2,96,163
1/4/13 0:00,Acme,1,Other,7,4,3,303,1,4,17,31
1/4/13 0:00,Sortly,1,Other,18,15,8,847,3,11,33,45
1/4/13 0:00,Pinnacle,0,Android,3,2,0,,1,0,4,5
1/4/13 0:00,Sortly,0,Macintosh,1,1,0,16,0,1,2,2
1/4/13 0:00,Acme,0,Macintosh,7091,4567,914,150226,2149,1568,20728,39785
1/4/13 0:00,Widgetry,,iPhone,3832,2981,0,,52,333,22484,34012
1/4/13 0:00,Sortly,0,Windows,2,2,0,40,0,1,9,3
1/4/13 0:00,Sortly,,Other,2298,2074,0,,1454,70,2712,4040
1/4/13 0:00,Widgetry,1,iPhone,17,16,17,1983,0,17,196,197
1/4/13 0:00,Sortly,0,Other,76,67,15,2038,10,34,211,301
1/4/13 0:00,Tabular,0,iPad,110,104,110,18424,0,110,2,1
1/5/13 0:00,Sortly,,Android,509,411,0,,213,19,859,1657
1/5/13 0:00,Acme,0,BlackBerry,11,8,0,96,3,1,10,19
1/5/13 0:00,Widgetry,,iPhone,4282,3377,0,,55,390,28247,41670
1/5/13 0:00,Pinnacle,,iPhone,277,238,0,,144,5,257,325
1/5/13 0:00,Pinnacle,0,Linux,1,0,0,,0,1,1,0
1/5/13 0:00,Tabular,,iPad,3150,2577,0,,393,397,4,5
1/5/13 0:00,Tabular,0,iPad,157,150,157,27663,0,157,0,0
1/5/13 0:00,Sortly,0,Android,61,51,4,509,20,16,84,129
1/5/13 0:00,Pinnacle,,Other,81,42,0,,60,0,28,155
1/5/13 0:00,Sortly,0,Other,131,114,28,3741,18,64,441,552
1/5/13 0:00,Sortly,,Macintosh,1,1,0,,1,0,1,1
1/5/13 0:00,Botly,,Android,1143,924,0,,510,101,661,1991
1/5/13 0:00,Pinnacle,0,iPhone,10,8,1,153,3,3,15,15
1/5/13 0:00,Acme,,,10,10,0,,10,0,3,4
1/5/13 0:00,Pinnacle,,Linux,9,7,0,,6,0,8,17
1/5/13 0:00,Pinnacle,,Windows,769,623,0,,329,22,1042,1856
1/5/13 0:00,Pinnacle,,BlackBerry,4,3,0,,2,0,6,9
1/5/13 0:00,Pinnacle,0,Windows,53,44,5,1494,11,13,181,346
1/5/13 0:00,Pinnacle,1,Android,0,0,0,14,0,0,1,3
1/5/13 0:00,Sortly,1,iPhone,46,32,16,1696,14,22,54,57
1/5/13 0:00,Acme,,iPhone,7871,7478,0,,2922,180,6264,11121
1/5/13 0:00,Acme,0,iPad,2603,1801,457,76136,461,855,9741,15476
1/5/13 0:00,Sortly,,Other,3736,3160,0,,2119,136,5243,7748
1/5/13 0:00,Acme,1,Macintosh,430,234,234,29424,75,270,1963,3627
1/5/13 0:00,Pinnacle,1,Macintosh,3,2,2,444,0,2,9,13
1/5/13 0:00,Sortly,1,Windows,0,0,0,,0,0,0,0
1/5/13 0:00,Pinnacle,1,Windows,7,4,3,896,1,5,15,25
1/5/13 0:00,Acme,1,iPad,251,138,135,17847,40,162,1121,1600
1/5/13 0:00,Acme,,Linux,1222,1140,0,,998,9,1109,2206
1/5/13 0:00,Acme,0,iPhone,475,391,52,6879,80,111,719,965
1/5/13 0:00,Sortly,1,Android,12,9,3,296,4,5,19,25
1/5/13 0:00,Acme,,iPad,19273,15035,0,,6443,883,35391,67793
1/5/13 0:00,Pinnacle,,Android,87,71,0,,46,1,89,172
1/5/13 0:00,Widgetry,0,iPhone,117,112,117,16361,0,117,1586,1405
1/5/13 0:00,Acme,0,Macintosh,6942,4515,972,160888,2077,1667,22720,44914
1/5/13 0:00,Acme,0,Linux,43,30,5,717,8,11,163,313
1/5/13 0:00,Acme,,SymbianOS,3,2,0,,2,0,2,2
1/5/13 0:00,Pinnacle,1,iPad,3,1,1,228,1,1,4,8
1/5/13 0:00,Acme,,Macintosh,26429,19078,0,,12182,1227,49657,113412
1/5/13 0:00,Sortly,0,Windows,1,1,0,15,0,0,2,2
1/5/13 0:00,Sortly,,iPhone,3468,2988,0,,1428,157,4833,7397
1/5/13 0:00,Acme,0,Other,54,41,7,841,8,15,202,406
1/5/13 0:00,Sortly,,Windows,1,0,0,,1,0,1,2
1/5/13 0:00,Sortly,,Linux,0,0,0,,0,0,0,0
1/5/13 0:00,Pinnacle,0,iPad,30,25,4,1146,7,8,85,158
1/5/13 0:00,Pinnacle,0,Macintosh,69,54,8,2288,16,17,137,275
1/5/13 0:00,Botly,1,Android,13,12,13,1116,0,13,1,2
1/5/13 0:00,Botly,0,Android,26,24,26,3301,0,26,6,9
