length,width
6.990351361,5.189064766
10.02019505,4.496276063
10.67138778,6.874265501
8.076909453,5.432538811
7.537237387,5.004453528
7.565855707,4.952266933
9.221911222,3.520207172
9.733912163,5.612554857
9.381668281,5.108261461
6.39471878,3.822375051
12.05005296,5.232487216
10.60018054,4.408222588
7.111101233,4.285888429
8.81100275,3.042574281
8.766287467,5.357690766
7.416526117,1.794542153
11.85686813,4.240815717
9.552748107,4.892325612
9.415600085,5.421805713
8.135116744,7.331352483
8.472442396,5.332617608
8.199147653,5.638834875
10.17237694,5.378273134
9.615955303,4.780261584
8.79210951,4.457657671
9.232225072,5.204829356
8.410390066,3.602484074
8.757211697,8.566321136
8.860675664,11.678835
8.833415087,8.533242139
10.71476913,11.67154543
8.538287961,10.08312306
11.37272726,10.26746683
8.769532738,9.474990482
7.386620562,9.304544307
8.90302692,7.0359725
8.320725798,8.637217972
11.04621611,8.310909779
8.937019199,9.611152075
8.254766923,9.367642206
10.08030574,8.212686666
10.23684848,9.961406024
8.967046207,10.27540502
10.21872234,7.306237513
7.659377342,8.750374015
8.643653486,9.280088643
10.96843583,9.894678393
10.35231931,9.48357976
8.95484386,8.708336341
7.22908905,8.94448906
10.99236327,9.057277437
9.690354382,9.697804945
7.912809544,8.475730095
9.046948791,7.817836484
10.65378793,8.689570014
10.30697328,6.892362406
9.944083411,10.30770818
11.43481879,9.047232138
11.22588495,8.047517797
10.36367787,7.823801196
9.547621664,9.207021517
8.643340404,10.75546753
6.834940183,9.664098068
8.481470404,8.278914494
8.674233442,7.889496809
9.309527516,8.824747539
7.912126808,6.806038851
10.19237281,8.922395992
7.564833278,9.695204642
6.739291599,9.174706879
9.233912223,11.07915451
10.60466358,9.518558324
9.759698958,8.336755235
8.184648868,9.133084857
10.00153426,10.42115906
9.506796052,7.564292344
8.516838056,9.203208593
8.631996568,9.351186237
7.346391954,9.955746837
8.448337126,9.19501356
10.05099474,9.34969291
11.19371453,7.127536053
11.31285283,9.13190262
10.0388673,8.972269993
8.197266673,9.733806351
8.368082443,8.595336008
8.264218008,8.50013257
8.516414805,10.0178397
8.649884875,8.921578119
8.923471593,10.1925374
9.668263284,9.503410304
9.839590815,8.176297251
9.615253988,8.40689722
9.929609497,8.642787697
9.655074713,10.30946784
9.885012141,8.689455642
9.235318423,9.394150942
9.46053382,8.692624055
8.697889435,9.484726001
9.871135386,7.945141242
9.506341543,9.362038474
9.237222614,7.96626522
8.424727214,8.833560922
8.944063286,9.220982952
6.971690437,9.126069599
7.604564492,7.54922968
7.310216086,7.071280643
8.922944272,8.69395462
6.441209257,7.426501945
10.23691768,8.827522095
8.712677183,9.368821577
8.488224308,9.260256396
10.02989214,9.370435944
6.991826092,9.112300936
8.958859893,10.21977614
9.056467642,7.305869736
8.701291227,8.358551848
8.799330364,9.020569108
9.456409951,8.868921531
8.384927828,8.979436188
11.04157143,7.953619516
9.968893573,10.15396091
9.785903086,8.118432882
8.979736601,8.168671302
7.842395484,10.18664652
8.321933652,9.901069728
8.66066135,10.12371786
