"station_id","time","PM25_Concentration","PM10_Concentration","NO2_Concentration","CO_Concentration","O3_Concentration","SO2_Concentration"
1014,2014-10-23 12:00:00,"153","194.7","84.5","1.3","3.3","20.4"
1014,2014-10-24 12:00:00,"284","NULL","97.8","2","11.8","19.4"
1014,2014-10-25 12:00:00,"379","NULL","110.4","2.2","15.9","10.7"
1015,2014-10-22 12:00:00,"83","177","91","1.9","2","15"
1015,2014-10-23 12:00:00,"127","158","74","1.3","14","9"
1015,2014-10-24 12:00:00,"228","265","98","2","40","24"
1015,2014-10-25 12:00:00,"303","NULL","93","2.2","53","13"
1016,2014-10-22 12:00:00,"76","144.5","76.4","1.2","3.7","18.2"
1016,2014-10-23 12:00:00,"143","168.8","69.6","1.3","11.1","9.6"
1016,2014-10-24 12:00:00,"258","306.1","102.6","2","27.7","26.4"
1016,2014-10-25 12:00:00,"375","381.3","104.4","2.5","42.3","16.7"
1017,2014-10-22 12:00:00,"82","158.5","65","1.1","4.7","15.5"
1017,2014-10-23 12:00:00,"144","199.7","84.8","1.5","8","17.3"
1017,2014-10-24 12:00:00,"278","320.6","115.9","2.1","20.9","27.6"
1017,2014-10-25 12:00:00,"419","NULL","129","2.5","16.2","16.8"
1018,2014-10-22 12:00:00,"96","142.3","69","1.1","17.9","18.5"
1018,2014-10-23 12:00:00,"138","198.4","86.9","1.4","23.3","26.4"
1018,2014-10-24 12:00:00,"NULL","833.6","91.6","2","9.2","24.9"
1018,2014-10-25 12:00:00,"421","NULL","87.7","2.3","53.7","18.2"
1019,2014-10-22 12:00:00,"125","190.9","80.2","1.6","3.2","22.3"
1019,2014-10-23 12:00:00,"131","166.5","98.7","1.4","4.5","43.1"
1019,2014-10-24 12:00:00,"269","294.1","113","1.7","5.4","19"
1019,2014-10-25 12:00:00,"384","NULL","140.6","2.3","10.6","15.4"
1020,2014-10-22 12:00:00,"72","162","80","1.3","4","14"
1020,2014-10-23 12:00:00,"127","176","84","1.3","9","12"
1020,2014-10-24 12:00:00,"236","289","105","2.1","26","26"
1020,2014-10-25 12:00:00,"310","332","104","2.3","42","16"
1021,2014-10-22 12:00:00,"90","152","75.7","1.6","2","6.5"
1021,2014-10-23 12:00:00,"163","165.9","75.9","1.3","5.4","2"
1021,2014-10-24 12:00:00,"286","296.3","105.6","2.1","9","9"
1021,2014-10-25 12:00:00,"380","NULL","96.4","2.3","19.4","3.2"
1022,2014-10-22 12:00:00,"104","NULL","NULL","NULL","NULL","NULL"
1022,2014-10-23 12:00:00,"145","NULL","NULL","NULL","NULL","NULL"
1022,2014-10-24 12:00:00,"253","NULL","NULL","NULL","NULL","NULL"
1022,2014-10-25 12:00:00,"331","NULL","NULL","NULL","NULL","NULL"
1023,2014-10-22 12:00:00,"83","140","69","1.4","2","12"
1023,2014-10-23 12:00:00,"96","140","57","1.3","22","27"
1023,2014-10-24 12:00:00,"220","242","29","1.6","62","19"
1023,2014-10-25 12:00:00,"297","NULL","43","2","46","12"
1024,2014-10-22 12:00:00,"66","122","55","1.2","28","18"
1024,2014-10-23 12:00:00,"145","174","34","1.2","44","8"
1024,2014-10-24 12:00:00,"244","252","54","1.8","78","21"
1024,2014-10-25 12:00:00,"343","357","76","2.3","47","13"
1025,2014-10-22 12:00:00,"74","140","79.1","1.1","11.9","16.6"
1025,2014-10-23 12:00:00,"140","NULL","50.4","1","24","9.8"
1025,2014-10-24 12:00:00,"217","NULL","94.9","1.6","45.4","26.3"
1025,2014-10-25 12:00:00,"352","NULL","63.1","2.1","77.3","17.2"
1026,2014-10-22 12:00:00,"79","185.3","60.2","1.5","5.8","11.3"
1026,2014-10-23 12:00:00,"102","158","57.5","1.2","27.8","30.7"
1026,2014-10-24 12:00:00,"273","319.9","64.4","2","34","23.3"
1026,2014-10-25 12:00:00,"324","NULL","79.3","2.4","28.4","13.4"
1027,2014-10-22 12:00:00,"NULL","NULL","52.6","1.1","11.4","18.2"
1027,2014-10-23 12:00:00,"110","171","54","1.2","26","27"
1027,2014-10-24 12:00:00,"214","249","37","1.7","74","24"
1027,2014-10-25 12:00:00,"243","245","30","1.7","91","13"
1028,2014-10-22 12:00:00,"53","125.6","56.3","1.2","7.3","12"
1028,2014-10-23 12:00:00,"118","158.4","55.5","1.1","19.5","19.1"
1028,2014-10-24 12:00:00,"212","NULL","35.8","1.4","48.8","14.2"
1028,2014-10-25 12:00:00,"294","NULL","28.3","1.7","98.1","14.2"
1029,2014-10-22 12:00:00,"78","108.9","57.2","1.4","43.1","15.8"
1029,2014-10-23 12:00:00,"156","NULL","68.6","1.3","29.4","2"
1029,2014-10-24 12:00:00,"218","NULL","75.6","2","24.1","10.1"
1029,2014-10-25 12:00:00,"253","NULL","74.4","2.3","24.4","3.9"
1030,2014-10-22 12:00:00,"78","132","51","1.2","35","17"
1030,2014-10-23 12:00:00,"174","178","30","1.1","60","17"
1030,2014-10-24 12:00:00,"241","NULL","41","1.4","96","25"
1030,2014-10-25 12:00:00,"371","NULL","58","2","90","15"
1031,2014-10-22 12:00:00,"74","107.2","61.5","1.3","38.2","20.5"
1031,2014-10-23 12:00:00,"157","NULL","62.7","1.1","32.5","5.4"
1031,2014-10-24 12:00:00,"247","NULL","81.3","2.1","32.5","48"
1031,2014-10-25 12:00:00,"228","NULL","86.3","2","21.9","36.9"
1032,2014-10-22 12:00:00,"45","73.9","16.2","1","28.2","10.6"
1032,2014-10-23 12:00:00,"110","117.9","18.2","1","42.8","23"
1032,2014-10-24 12:00:00,"209","NULL","9.7","1.4","84.4","21.3"
1032,2014-10-25 12:00:00,"259","NULL","7.1","1.6","122.2","15.1"
1033,2014-10-22 12:00:00,"47","86.3","62.8","1.1","18.5","19.8"
1033,2014-10-23 12:00:00,"107","151.3","72.7","1.1","20.7","22.5"
1033,2014-10-24 12:00:00,"264","NULL","81.8","1.7","20.6","22.5"
1033,2014-10-25 12:00:00,"342","NULL","72.3","2.1","42.2","20.5"
1034,2014-10-22 12:00:00,"95","130.5","88.7","1.2","2.8","21.8"
1034,2014-10-23 12:00:00,"124","162.8","87.1","1.7","5.7","30.8"
1034,2014-10-24 12:00:00,"284","NULL","91.1","1.8","9.8","35"
1034,2014-10-25 12:00:00,"401","NULL","89.6","2.1","10.3","14.9"
1035,2014-10-22 12:00:00,"52","90.9","34.9","0.6","19.2","11.4"
1035,2014-10-23 12:00:00,"141","219.6","94.9","1.7","5.3","29.7"
1035,2014-10-24 12:00:00,"288","346.3","131.3","2","18.7","27.7"
1035,2014-10-25 12:00:00,"392","NULL","136.5","2.6","30","11.3"
1036,2014-10-22 12:00:00,"76","185","75.6","0.1","4.8","13.7"
1036,2014-10-23 12:00:00,"150","234.1","83.1","1.1","14.2","18.3"
1036,2014-10-24 12:00:00,"291","336.3","110.9","1.7","36.4","23.1"
